Which comic characters are painted by token?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:token  . ?uri rdf:type dbo:ComicsCharacter}
Was winston churchill the prime minister of token?	ASK WHERE { dbr:token dbo:primeMinister dbr:Winston_Churchill }
Name some leaders of the parent organisation of the token?	SELECT DISTINCT ?uri WHERE { dbr:token dbo:parentOrganisation ?x . ?x dbo:leader ?uri  . }
Which party has come in power in token?	SELECT DISTINCT ?uri WHERE { ?x dbp:constituency dbr:token_(Lok_Sabha_constituency) . ?x dbo:party ?uri  . }
Name the municipality of token ?	 SELECT DISTINCT ?uri WHERE { dbr:token dbo:municipality ?uri }
Which royalty was married to tokenone and had mother named tokentwo ?	SELECT DISTINCT ?uri WHERE {?uri dbp:mother dbr:tokentwo . ?uri dbp:spouse dbr:tokenone  . ?uri rdf:type dbo:Royalty}
In which monarch did token succeed someone?	SELECT DISTINCT ?uri WHERE { ?x dbo:successor dbr:token . ?x dbo:monarch ?uri  . }
Which home town of tokenone is the death location of the tokentwo ?	 SELECT DISTINCT ?uri WHERE { dbr:tokenone dbp:hometown ?uri. dbr:tokentwo dbo:deathPlace ?uri}
Which company which assembles its cars in token?	SELECT DISTINCT ?uri WHERE { ?x dbp:assembly dbr:token . ?x dbo:parentCompany ?uri  . ?x rdf:type dbo:Automobile}
Which person designed the cars which has been designed by token?	SELECT DISTINCT ?uri WHERE { ?x dbo:designCompany dbr:token . ?x dbp:designer ?uri  . ?x rdf:type dbo:Automobile}
Where was the designer of token born?	SELECT DISTINCT ?uri WHERE { dbr:token dbo:designer ?x . ?x dbo:birthPlace ?uri  . }
What is the common affiliation of the tokenone and alma mater of the tokentwo?	 SELECT DISTINCT ?uri WHERE { dbr:tokenone dbp:affiliation ?uri. dbr:tokentwo dbo:almaMater ?uri}
What is the hometown of tokenone where tokentwo was born too?	SELECT DISTINCT ?uri WHERE { dbr:tokentwo dbp:birthPlace ?uri. dbr:tokenone dbo:hometown ?uri . }
What tv series can be said to be related to the tokenone adventure and tokentwo?	SELECT DISTINCT ?uri WHERE { ?uri dbo:related dbr:tokenone . ?uri dbo:related dbr:tokentwo . }
How many shows does token have?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:company dbr:token  . ?uri rdf:type dbo:TelevisionShow}
Is tokenone the former coach of tokentwo?	ASK WHERE { dbr:tokentwo dbo:formerCoach dbr:tokenone }
What is the common genere of tokenone and tokentwo ?	 SELECT DISTINCT ?uri WHERE { dbr:tokenone dbp:knownFor ?uri. dbr:tokentwo dbo:genre ?uri}
Which share holder of tokenone is also the content license of the tokentwo ?	 SELECT DISTINCT ?uri WHERE { dbr:tokentwo dbp:license ?uri. dbr:tokenone dbp:owner ?uri}
On how many different grounds were seasons chaired by token held?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:chairman dbr:token . ?x dbo:ground ?uri  . }
Which source country of tokenone is the birth place of tokentwo ?	 SELECT DISTINCT ?uri WHERE { dbr:tokenone dbo:sourceCountry ?uri. dbr:tokentwo dbp:placeOfBirth ?uri}
Where was the battle fought where token participated  ?	SELECT DISTINCT ?uri WHERE { dbr:token dbo:battle ?x . ?x dbo:territory ?uri  . ?x rdf:type dbo:MilitaryConflict}
What is the operator of token ?	 SELECT DISTINCT ?uri WHERE { dbr:token dbo:operator ?uri }
Which band's  former member are tokenone and tokentwo?	SELECT DISTINCT ?uri WHERE {?uri dbo:formerBandMember dbr:tokenone . ?uri dbp:pastMembers dbr:tokentwo  . ?uri rdf:type dbo:Band}
Did tokenone guest in HIMYM ? ASK WHERE { dbr:HIMYM dbp:guests dbr:tokenone }
Name the tenants of token ? SELECT DISTINCT ?uri WHERE { dbr:token dbo:tenant ?uri }
which politician is currently ruling over token?	 SELECT DISTINCT ?uri WHERE { dbr:token dbo:leaderName ?uri }
Is token one of the destinations of airtours airways?	ASK WHERE { dbr:Airtours_International_Airways dbo:destination dbr:token }
Name the mascot of the military branch of token.	SELECT DISTINCT ?uri WHERE { dbr:token dbo:militaryBranch ?x . ?x dbp:mascot ?uri  . }
Was token a part of Jonas brothers?	ASK WHERE { dbr:Jonas_Brothers dbo:formerBandMember dbr:token }
Which kind of conventions are held in token?	SELECT DISTINCT ?uri WHERE { ?x dbo:location dbr:token . ?x dbp:genre ?uri  . ?x rdf:type dbo:Convention}
What are the type of token?	 SELECT DISTINCT ?uri WHERE { dbr:token dbp:type ?uri }
List the teams for which token played ?	 SELECT DISTINCT ?uri WHERE { dbr:token dbp:pastteams ?uri }
What are some famous works of the writer of token?	SELECT DISTINCT ?uri WHERE { dbr:token dbp:writer ?x . ?x dbp:notableworks ?uri  . }
How many books have been penned by token?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:author dbr:token  . ?uri rdf:type dbo:Book}
Which labels signs up token?	SELECT DISTINCT ?uri WHERE { ?x dbp:genre dbr:token . ?x dbo:recordLabel ?uri  . ?x rdf:type dbo:MusicalArtist}
What are the schools whose city is token?	 SELECT DISTINCT ?uri WHERE {?uri dbo:city dbr:token }
Which magazine's editor is married to token?	SELECT DISTINCT ?uri WHERE { ?x dbp:spouse dbr:token . ?uri dbp:editor ?x  . ?uri rdf:type dbo:Magazine}
Does the token come under Essex county?	ASK WHERE { dbr:token dbo:ceremonialCounty dbr:Essex }
How many people have headed organizations headquartered at token?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:headquarter dbr:token . ?x dbo:leader ?uri  . }
In which television shows have token served as an executive producer?	SELECT DISTINCT ?uri WHERE {?uri dbo:executiveProducer dbr:token  . ?uri rdf:type dbo:TelevisionShow}
What are the airlines whose hub is token Airport?	SELECT DISTINCT ?uri WHERE {?uri dbp:hubs dbr:token_Airport  . ?uri rdf:type dbo:Airline}
Where can I find things run by the token?	SELECT DISTINCT ?uri WHERE { ?x dbp:governingBody dbr:token . ?x dbp:location ?uri  . }
How many services does token provide?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:token dbp:services ?uri  . }
Who appointed the governor under whom token served?	SELECT DISTINCT ?uri WHERE { dbr:token dbo:governor ?x . ?x dbp:appointer ?uri  . }
What company involved in the development of Sherlock did token work for?	 SELECT DISTINCT ?uri WHERE { dbr:Arthur_D._Levinson dbo:occupation ?uri. dbr:Sherlock_(software) dbo:developer ?uri}
Which tenants of the Master Card center is also th draft team of Sam Carrrick 	 SELECT DISTINCT ?uri WHERE { dbr:MasterCard_Centre dbp:tenants ?uri. dbr:Sam_Carrick dbp:draftTeam ?uri}
Who produced the TV shows for Fremantle Media?	SELECT DISTINCT ?uri WHERE { ?x dbp:company dbr:FremantleMedia . ?x dbo:producer ?uri  . ?x rdf:type dbo:TelevisionShow}
What is the style of architecture of South Loop Printing House District ?	 SELECT DISTINCT ?uri WHERE { dbr:South_Loop_Printing_House_District dbo:architecturalStyle ?uri }
Whose provides the service of  Outlook and also products  such as Visual Studio?	SELECT DISTINCT ?uri WHERE {?uri dbp:services dbr:Outlook.com . ?uri dbp:products dbr:Microsoft_Visual_Studio  . }
Is Ombla originate in Croatia?	ASK WHERE { dbr:Ombla dbo:sourceMountain dbr:Croatia }
What is the nationality of Newin Chidchob ?	 SELECT DISTINCT ?uri WHERE { dbr:Newin_Chidchob dbp:nationality ?uri }
In which team did Dave Bing and Ron Reed started their basketball career?	SELECT DISTINCT ?uri WHERE { dbr:Dave_Bing dbp:draftTeam ?uri. dbr:Ron_Reed dbp:draftTeam ?uri . }
Was Ganymede discovered by Galileo Galilei?	ASK WHERE { dbr:Ganymede_(moon) dbp:discoverer dbr:Galileo_Galilei }
