Which comic characters are painted by Bill Finger?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:Bill_Finger  . ?uri rdf:type dbo:ComicsCharacter}
Was winston churchill the prime minister of Selwyn Lloyd?	ASK WHERE { dbr:Selwyn_Lloyd dbo:primeMinister dbr:Winston_Churchill }
Name some leaders of the parent organisation of the Gestapo?	SELECT DISTINCT ?uri WHERE { dbr:Gestapo dbo:parentOrganisation ?x . ?x dbo:leader ?uri  . }
Which party has come in power in Mumbai North?	SELECT DISTINCT ?uri WHERE { ?x dbp:constituency dbr:Mumbai_North_(Lok_Sabha_constituency) . ?x dbo:party ?uri  . }
Name the municipality of Roberto Clemente Bridge ?	 SELECT DISTINCT ?uri WHERE { dbr:Roberto_Clemente_Bridge dbo:municipality ?uri }
Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V ?	SELECT DISTINCT ?uri WHERE {?uri dbp:mother dbr:Cleopatra_V_of_Egypt . ?uri dbp:spouse dbr:Ptolemy_XIII_Theos_Philopator  . ?uri rdf:type dbo:Royalty}
In which monarch did Li Si succeed someone?	SELECT DISTINCT ?uri WHERE { ?x dbo:successor dbr:Li_Si . ?x dbo:monarch ?uri  . }
Which home town of PAvel Moroz is the death location of the Yakov Estrin ?	 SELECT DISTINCT ?uri WHERE { dbr:Pavel_Moroz dbp:hometown ?uri. dbr:Yakov_Estrin dbo:deathPlace ?uri}
Which company which assembles its cars in Broadmeadows Victoria?	SELECT DISTINCT ?uri WHERE { ?x dbp:assembly dbr:Broadmeadows_Victoria . ?x dbo:parentCompany ?uri  . ?x rdf:type dbo:Automobile}
Which person designed the cars which has been designed by ASC Creative Services?	SELECT DISTINCT ?uri WHERE { ?x dbo:designCompany dbr:ASC_Creative_Services . ?x dbp:designer ?uri  . ?x rdf:type dbo:Automobile}
Name the scientist whose supervisor was Ernest Rutherford and had a doctoral students named Charles Drummond Ellis?	SELECT DISTINCT ?uri WHERE {?uri dbo:doctoralAdvisor dbr:Ernest_Rutherford . ?uri dbp:doctoralStudents dbr:Charles_Drummond_Ellis  . ?uri rdf:type dbo:Scientist}
Where was the designer of REP Parasol born?	SELECT DISTINCT ?uri WHERE { dbr:REP_Parasol dbo:designer ?x . ?x dbo:birthPlace ?uri  . }
What is the common affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt and alma mater of the Duncan U. Fletcher?	 SELECT DISTINCT ?uri WHERE { dbr:Monroe_Carell_Jr._Children's_Hospital_at_Vanderbilt dbp:affiliation ?uri. dbr:Duncan_U._Fletcher dbo:almaMater ?uri}
What is the hometown of Nader Guirat where Josef Johansson was born too?	SELECT DISTINCT ?uri WHERE { dbr:Josef_Johansson dbp:birthPlace ?uri. dbr:Nader_Guirat dbo:hometown ?uri . }
What tv series can be said to be related to the sarah jane adventure and dr who confidential?	SELECT DISTINCT ?uri WHERE { ?uri dbo:related dbr:The_Sarah_Jane_Adventures . ?uri dbo:related dbr:Doctor_Who_Confidential . }
How many shows does HBO have?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:company dbr:HBO  . ?uri rdf:type dbo:TelevisionShow}
Is Nikolai Morozov the former coach of Stanislav Morozov?	ASK WHERE { dbr:Stanislav_Morozov dbo:formerCoach dbr:Nikolai_Morozov_(figure_skater) }
What is the common genere of Abhijit Kunte and Kasparov ?	 SELECT DISTINCT ?uri WHERE { dbr:Abhijit_Kunte dbp:knownFor ?uri. dbr:Virtual_Kasparov dbo:genre ?uri}
Which share holder of outlook is also the content license of the MSX Basics ?	 SELECT DISTINCT ?uri WHERE { dbr:MSX_BASIC dbp:license ?uri. dbr:Outlook_on_the_web dbp:owner ?uri}
On how many different grounds were seasons chaired by Ronaldo held?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:chairman dbr:Ronaldo . ?x dbo:ground ?uri  . }
Which source country of SamurAbsheron channel is the birth place of Anar Salmanov ?	 SELECT DISTINCT ?uri WHERE { dbr:Samur–Absheron_channel dbo:sourceCountry ?uri. dbr:Anar_Salmanov dbp:placeOfBirth ?uri}
Where was the battle fought where 2nd Foreign Infantry Regiment participated  ?	SELECT DISTINCT ?uri WHERE { dbr:2nd_Foreign_Infantry_Regiment dbo:battle ?x . ?x dbo:territory ?uri  . ?x rdf:type dbo:MilitaryConflict}
What is the operator of SR class 3Sub ?	 SELECT DISTINCT ?uri WHERE { dbr:SR_class_3Sub dbo:operator ?uri }
Which band's  former member are Kevin Jonas and Joe Jonas?	SELECT DISTINCT ?uri WHERE {?uri dbo:formerBandMember dbr:Kevin_Jonas . ?uri dbp:pastMembers dbr:Joe_Jonas  . ?uri rdf:type dbo:Band}
Did Timm Gunn guest in Sunrise (HIMYM)?	ASK WHERE { dbr:Sunrise_(How_I_Met_Your_Mother) dbp:guests dbr:Tim_Gunn }
Name the tenants of O.co Coliseum ?	 SELECT DISTINCT ?uri WHERE { dbr:O.co_Coliseum dbo:tenant ?uri }
which politician is currently ruling over Rishkiesh?	 SELECT DISTINCT ?uri WHERE { dbr:Rishikesh dbo:leaderName ?uri }
Is north america one of the destinations of airtours airways?	ASK WHERE { dbr:Airtours_International_Airways dbo:destination dbr:North_America }
Who have done their PhDs under a National Medal of Science winner?	SELECT DISTINCT ?uri WHERE { ?x dbp:prizes dbr:National_Medal_of_Science . ?uri dbp:doctoralAdvisor ?x  . }
Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10	 SELECT DISTINCT ?uri WHERE { dbr:2000–01_Aston_Villa_F.C._season dbp:name ?uri. dbr:2009–10_Middlesbrough_F.C._season dbo:manager ?uri}
Name the mascot of the military branch of William Harper.	SELECT DISTINCT ?uri WHERE { dbr:William_Harper_(Rhodesian_politician) dbo:militaryBranch ?x . ?x dbp:mascot ?uri  . }
How many tenats have been there of the constructions of PCL constructures?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:builder dbr:PCL_Construction . ?x dbo:tenant ?uri  . }
Was Kevin Jonas a part of Jonas brothers?	ASK WHERE { dbr:Jonas_Brothers dbo:formerBandMember dbr:Kevin_Jonas }
What was the book that lead to Sagan's Cosmos about?	SELECT DISTINCT ?uri WHERE { ?x dbo:subsequentWork dbr:Cosmos_(Carl_Sagan_book) . ?x dbp:subject ?uri  . ?x rdf:type dbo:Book}
Which kind of conventions are held in Rosemont Illinois?	SELECT DISTINCT ?uri WHERE { ?x dbo:location dbr:Rosemont_Illinois . ?x dbp:genre ?uri  . ?x rdf:type dbo:Convention}
What are the type of Greenup County High School?	 SELECT DISTINCT ?uri WHERE { dbr:Greenup_County_High_School dbp:type ?uri }
List the teams for which Bobby Hoppe played ?	 SELECT DISTINCT ?uri WHERE { dbr:Bobby_Hoppe dbp:pastteams ?uri }
What are some famous works of the writer of The Second Coming?	SELECT DISTINCT ?uri WHERE { dbr:The_Second_Coming_(TV_serial) dbp:writer ?x . ?x dbp:notableworks ?uri  . }
How many books have been penned by Miguel de Cervantes?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:author dbr:Miguel_de_Cervantes  . ?uri rdf:type dbo:Book}
Which labels signs up progressive rock bands?	SELECT DISTINCT ?uri WHERE { ?x dbp:genre dbr:Progressive_rock . ?x dbo:recordLabel ?uri  . ?x rdf:type dbo:MusicalArtist}
What are the schools whose city is Reading Berkshire?	 SELECT DISTINCT ?uri WHERE {?uri dbo:city dbr:Reading_Berkshire }
Which magazine's editor is married to Crystal Harris?	SELECT DISTINCT ?uri WHERE { ?x dbp:spouse dbr:Crystal_Harris . ?uri dbp:editor ?x  . ?uri rdf:type dbo:Magazine}
Does the west thurrock come under Essex county?	ASK WHERE { dbr:West_Thurrock dbo:ceremonialCounty dbr:Essex }
